global_sales,critic_score
0.64,57
0.64,58
0.64,60
0.64,60
0.64,61
0.64,61
0.64,63
0.64,64
0.64,64
0.64,64
0.64,67
0.64,67
0.64,67
0.64,68
0.64,72
0.64,74
0.64,74
0.64,74
0.64,75
0.64,78
0.64,79
0.64,81
0.64,83
0.64,84
0.64,84
0.64,84
0.64,85
0.64,88
0.64,88
0.63,32
0.63,44
0.63,54
0.63,55
0.63,60
0.63,62
0.63,62
0.63,68
0.63,70
0.63,71
0.63,73
0.63,73
0.63,75
0.63,76
0.63,76
0.63,78
0.63,78
0.63,78
0.63,79
0.63,80
0.63,80
0.63,81
0.63,82
0.63,82
0.63,82
0.63,82
0.63,88
0.63,88
0.63,89
0.63,89
0.63,91
0.63,93
0.62,46
0.62,48
0.62,50
0.62,67
0.62,68
0.62,70
0.62,70
0.62,71
0.62,71
0.62,72
0.62,74
0.62,75
0.62,77
0.62,78
0.62,80
0.62,80
0.62,82
0.62,86
0.62,87
0.62,88
0.62,89
0.62,90
0.62,93
0.61,46
0.61,48
0.61,49
0.61,56
0.61,58
0.61,58
0.61,59
0.61,62
0.61,64
0.61,67
0.61,68
0.61,70
0.61,70
0.61,70
0.61,70
0.61,71
0.61,71
0.61,72
0.61,72
0.61,73
0.61,73
0.61,75
0.61,75
0.61,76
0.61,77
0.61,79
0.61,81
0.61,81
0.61,82
0.61,84
0.61,84
0.61,85
0.61,86
0.61,87
0.61,89
0.61,90
0.61,91
0.6,32
0.6,35
0.6,43
0.6,43
0.6,45
0.6,51
0.6,52
0.6,60
0.6,60
0.6,61
0.6,62
0.6,63
0.6,64
0.6,68
0.6,69
0.6,69
0.6,71
0.6,71
0.6,72
0.6,72
0.6,72
0.6,77
0.6,80
0.6,81
0.6,81
0.6,82
0.6,86
0.6,87
0.6,88
0.6,90
0.6,90
0.59,44
0.59,44
0.59,48
0.59,56
0.59,60
0.59,62
0.59,62
0.59,66
0.59,70
0.59,72
0.59,73
0.59,73
0.59,74
0.59,77
0.59,80
0.59,80
0.59,81
0.59,81
0.59,82
0.59,82
0.59,83
0.59,86
0.59,88
0.59,88
0.59,90
0.58,33
0.58,38
0.58,42
0.58,52
0.58,55
0.58,58
0.58,58
0.58,67
0.58,68
0.58,68
0.58,70
0.58,70
0.58,71
0.58,71
0.58,73
0.58,73
0.58,74
0.58,74
0.58,77
0.58,77
0.58,77
0.58,78
0.58,78
0.58,79
0.58,79
0.58,81
0.58,83
0.58,84
0.58,84
0.58,85
0.58,86
0.58,89
0.58,90
0.58,90
0.58,90
0.58,91
0.58,91
0.57,45
0.57,56
0.57,57
0.57,58
0.57,60
0.57,60
0.57,62
0.57,63
0.57,63
0.57,66
0.57,67
0.57,67
0.57,69
0.57,70
0.57,71
0.57,73
0.57,73
0.57,73
0.57,74
0.57,74
0.57,75
0.57,75
0.57,76
0.57,77
0.57,77
0.57,78
0.57,78
0.57,78
0.57,80
0.57,81
0.57,82
0.57,85
0.57,85
0.57,86
0.57,87
0.57,87
0.57,87
0.57,88
0.57,89
0.57,91
0.56,47
0.56,50
0.56,55
0.56,56
0.56,56
0.56,58
0.56,59
0.56,62
0.56,63
0.56,64
0.56,64
0.56,65
0.56,66
0.56,66
0.56,67
0.56,68
0.56,68
0.56,71
0.56,71
0.56,72
0.56,72
0.56,72
0.56,74
